"","rn","numbers"
"1","location_interview_border_rabea"," 1.00000000"
"2","gender_ki_female"," 0.25925926"
"3","gender_ki_male"," 0.74074074"
"4","nationality_ki_syrian"," 1.00000000"
"5","nationality_other",NA
"6","residency_no"," 1.00000000"
"7","arrive_syria_yes"," 1.00000000"
"8","reason_displace_airstrikes"," 0.85185185"
"9","reason_displace_arrival_military"," 0.07407407"
"10","reason_displace_home_destroyed"," 0.03703704"
"11","reason_displace_other"," 0.03703704"
"12","date_left_more_than_three","0.1851852"
"13","date_left_three_days","0.1851852"
"14","date_left_two_days","0.07407407"
"15","date_left_week","0.1111111"
"16","date_left_yes"," 0.44444444"
"17","male_0_17","2.555556"
"18","female_0_17","2.481481"
"19","male_18_60","2.814815"
"20","female_18_60","2.888889"
"21","male_60","0.1111111"
"22","female_60","0.1851852"
"23","group_size","11.03704"
"24","unaccompanied_no"," 0.92592593"
"25","unaccompanied_yes"," 0.07407407"
"26","unaccompanied_number",NA
"27","disabled_no"," 0.88888889"
"28","disabled_yes"," 0.11111111"
"29","disabled_number","1.333333"
"30","preg_lacting_no"," 0.70370370"
"31","preg_lacting_yes"," 0.29629630"
"32","pregnant_number","2.375"
"33","memb_left_no"," 0.29629630"
"34","memb_left_yes"," 0.70370370"
"35","memb_left_nr",NA
"36","governorate_origin_aleppo"," 0.14814815"
"37","governorate_origin_hasakah"," 0.85185185"
"38","governorate_or_other",NA
"39","district_origin_afrin"," 0.03703704"
"40","district_origin_ain_al_arab"," 0.11111111"
"41","district_origin_al_hasakeh"," 0.11111111"
"42","district_origin_quamishli"," 0.51851852"
"43","district_origin_ras_al_ain"," 0.22222222"
"44","district_or_other",NA
"45","subdistrict_origin_Ain.al.Arab"," 0.11111111"
"46","subdistrict_origin_al_hasakeh"," 0.07407407"
"47","subdistrict_origin_amuda"," 0.03703704"
"48","subdistrict_origin_darbasiyah"," 0.07407407"
"49","subdistrict_origin_jandairis"," 0.03703704"
"50","subdistrict_origin_qahtaniyyeh"," 0.07407407"
"51","subdistrict_origin_quamishli"," 0.40740741"
"52","subdistrict_origin_ras_al_ain"," 0.14814815"
"53","subdistrict_origin_tal_tamer"," 0.03703704"
"54","subdistrict_or_other",NA
"55","origin_from_location_no"," 0.77777778"
"56","origin_from_location_yes"," 0.22222222"
"57","wait_border_2_4_hours"," 0.11111111"
"58","wait_border_4_8_hours"," 0.29629630"
"59","wait_border_8_24_hours","0.2592593"
"60","wait_border_less_2_hours"," 0.18518519"
"61","wait_border_two_days","0.1481482"
"62","wait_reception_2_4_hours"," 0.07407407"
"63","wait_reception_4_8_hours"," 0.03703704"
"64","wait_reception_8_24_hours"," 0.62962963"
"65","wait_reception_less_2_hours"," 0.07407407"
"66","wait_reception_two_days"," 0.18518519"
"67","duration_rc_2_4_hours"," 0.11111111"
"68","duration_rc_4_8_hours"," 0.11111111"
"69","duration_rc_8_24_hours","0.2962963"
"70","duration_rc_less_2_hours"," 0.40740741"
"71","duration_rc_two_days","0.07407407"
"72","decision_timing_1_12"," 0.14814815"
"73","decision_timing_13_18"," 0.07407407"
"74","decision_timing_19_24"," 0.07407407"
"75","decision_timing_6_less"," 0.25925926"
"76","decision_timing_one_two_days"," 0.18518519"
"77","decision_timing_two_days"," 0.25925926"
"78","direction_choice_closest"," 0.03703704"
"79","direction_choice_direction_family"," 0.03703704"
"80","direction_choice_direction_suggested_friends"," 0.03703704"
"81","direction_choice_opened_safe_routes"," 0.88888889"
"82","direction_choice_other",NA
"83","stop_points_no"," 0.59259259"
"84","stop_points_yes"," 0.40740741"
"85","stop_points_loc_district_ain_al_arab"," 0.09090909"
"86","stop_points_loc_district_Al.Malikeyyeh"," 0.36363636"
"87","stop_points_loc_district_al_hasakeh"," 0.09090909"
"88","stop_points_loc_district_Ar.Raqqa"," 0.09090909"
"89","stop_points_loc_district_other"," 0.09090909"
"90","stop_points_loc_district_quamishli"," 0.27272727"
"91","stop_points_location_Al.Malikeyyeh"," 0.09090909"
"92","stop_points_location_al_hasakeh"," 0.09090909"
"93","stop_points_location_Ar.Raqqa"," 0.09090909"
"94","stop_points_location_Jawadiyah"," 0.09090909"
"95","stop_points_location_Jawadiyah.Ya.robiyah"," 0.09090909"
"96","stop_points_location_qahtaniyyeh"," 0.09090909"
"97","stop_points_location_quamishli"," 0.27272727"
"98","stop_points_location_Sarin"," 0.09090909"
"99","stop_points_location_Ya.robiyah"," 0.09090909"
"100","transport_Car"," 0.40740741"
"101","transport_Foot"," 0.55555556"
"102","transport_Minibus"," 0.03703704"
"103","transport_other",NA
"104","difficulties",NA
"105","difficulties_other",NA
"106","item_bring",NA
"107","item_bring_other",NA
"108","members_no_id","3"
"109","priority_need",NA
"110","priority_other",NA
"111","intent_two_days_camp"," 0.48148148"
"112","intent_two_days_dont_know"," 0.03703704"
"113","intent_two_days_family_friends_dohuk"," 0.11111111"
"114","intent_two_days_family_friends_kri"," 0.37037037"
"115","intent_two_days_other",NA
"116","intent_gov_dahuk"," 0.23076923"
"117","intent_gov_erbil"," 0.69230769"
"118","intent_gov_sulaymaniyah"," 0.07692308"
"119","intent_gov_other",NA
"120","intent_district",NA
"121","intent_town",NA
"122","reason_intent_family_host"," 0.55555556"
"123","reason_intent_I.do.not.have.a.choice..decided.by.the.government.."," 0.18518519"
"124","reason_intent_other"," 0.25925926"
"125","reason_intent_other.1",NA
"126","relatives_kri_yes"," 1.00000000"
"127","intent_two_weeks_camp"," 0.71428571"
"128","intent_two_weeks_family_friends_dohuk"," 0.07142857"
"129","intent_two_weeks_family_friends_kri"," 0.14285714"
"130","intent_two_weeks_no"," 0.07142857"
"131","intent_two_weeks_other",NA
"132","intent_gov_week_dahuk"," 0.25000000"
"133","intent_gov_week_erbil"," 0.68750000"
"134","intent_gov_week_sulaymaniyah"," 0.06250000"
"135","intent_gov_week_other",NA
"136","intent_district_week_dahuk"," 0.18750000"
"137","intent_district_week_erbil"," 0.68750000"
"138","intent_district_week_sulaymaniya"," 0.06250000"
"139","intent_district_week_sumel"," 0.06250000"
"140","intent_town_week",NA
"141","intent_return_no"," 0.96296296"
"142","intent_return_yes"," 0.03703704"
"143","stop_points_loc_district",NA
"144","stop_points_loc_district.afrin","0"
"145","stop_points_loc_district.ain_al_arab","0.09090909"
"146","stop_points_loc_district.al_bab","0"
"147","stop_points_loc_district.as_safira","0"
"148","stop_points_loc_district.a_zaz","0"
"149","stop_points_loc_district.jarablus","0"
"150","stop_points_loc_district.jebel_saman","0"
"151","stop_points_loc_district.menbij","0"
"152","stop_points_loc_district.al_hasakeh","0.09090909"
"153","stop_points_loc_district.al_malikeyyeh","0.3636364"
"154","stop_points_loc_district.quamishli","0.3636364"
"155","stop_points_loc_district.ras_al_ain","0"
"156","stop_points_loc_district.ar_raqqa","0.09090909"
"157","stop_points_loc_district.ath_thawrah","0"
"158","stop_points_loc_district.tell_abiad","0"
"159","stop_points_loc_district.abu_kamal","0"
"160","stop_points_loc_district.al_mayadin","0"
"161","stop_points_loc_district.deir_ez_zor","0"
"162","stop_points_location",NA
"163","stop_points_location.afrin","0"
"164","stop_points_location.bulbul","0"
"165","stop_points_location.jandairis","0"
"166","stop_points_location.ma_btali","0"
"167","stop_points_location.raju","0"
"168","stop_points_location.sharan","0"
"169","stop_points_location.sheikh_el_hadid","0"
"170","stop_points_location.ain_al_arab","0"
"171","stop_points_location.lower_shyookh","0"
"172","stop_points_location.sarin","0.09090909"
"173","stop_points_location.al_bab","0"
"174","stop_points_location.a_rima","0"
"175","stop_points_location.ar_raee","0"
"176","stop_points_location.dayr_hafir","0"
"177","stop_points_location.eastern_kwaires.",NA
"178","stop_points_location.rasm_haram_el_imam","0"
"179","stop_points_location.tadaf","0"
"180","stop_points_location.as_safira","0"
"181","stop_points_location.banan","0"
"182","stop_points_location.hajeb","0"
"183","stop_points_location.khanaser","0"
"184","stop_points_location.aghtrin","0"
"185","stop_points_location.azaz","0"
"186","stop_points_location.mare","0"
"187","stop_points_location.nabul","0"
"188","stop_points_location.suran","0"
"189","stop_points_location.tall_refaat","0"
"190","stop_points_location.ghandorah","0"
"191","stop_points_location.jarablus","0"
"192","stop_points_location.atareb","0"
"193","stop_points_location.daret_azza","0"
"194","stop_points_location.hadher","0"
"195","stop_points_location.haritan","0"
"196","stop_points_location.jebel_saman","0"
"197","stop_points_location.tall_ed_daman","0"
"198","stop_points_location.zarbah","0"
"199","stop_points_location.abu_qalqal","0"
"200","stop_points_location.al_khafsa","0"
"201","stop_points_location.maskana","0"
"202","stop_points_location.menbij","0"
"203","stop_points_location.al_hasakeh","0.09090909"
"204","stop_points_location.areesheh","0"
"205","stop_points_location.ber_al_hulo_al_wardeyyeh","0"
"206","stop_points_location.hole","0"
"207","stop_points_location.markada","0"
"208","stop_points_location.shadadah","0"
"209","stop_points_location.tal_tamer","0"
"210","stop_points_location.al_malikeyyeh","0.09090909"
"211","stop_points_location.jawadiyah","0.1818182"
"212","stop_points_location.ya_robiyah","0.1818182"
"213","stop_points_location.amuda","0"
"214","stop_points_location.qahtaniyyeh","0.1818182"
"215","stop_points_location.quamishli","0.2727273"
"216","stop_points_location.tal_hmis","0"
"217","stop_points_location.darbasiyah","0"
"218","stop_points_location.ras_al_ain","0"
"219","stop_points_location.ar_raqqa","0.09090909"
"220","stop_points_location.karama","0"
"221","stop_points_location.maadan","0"
"222","stop_points_location.sabka","0"
"223","stop_points_location.al_thawrah","0"
"224","stop_points_location.jurneyyeh","0"
"225","stop_points_location.mansura","0"
"226","stop_points_location.ein_issa","0"
"227","stop_points_location.suluk","0"
"228","stop_points_location.tell_abiad","0"
"229","stop_points_location.abu_kamal","0"
"230","stop_points_location.hajin","0"
"231","stop_points_location.jalaa","0"
"232","stop_points_location.susat","0"
"233","stop_points_location.al_mayadin","0"
"234","stop_points_location.ashara","0"
"235","stop_points_location.thiban","0"
"236","stop_points_location.basira","0"
"237","stop_points_location.deir_ez_zor","0"
"238","stop_points_location.khasham","0"
"239","stop_points_location.kisreh","0"
"240","stop_points_location.muhasan","0"
"241","stop_points_location.sur","0"
"242","stop_points_location.tabni","0"
"243","difficulties.no_water","0.8148148"
"244","difficulties.no_food","0.8148148"
"245","difficulties.no_money","0.1481482"
"246","difficulties.risk_of_mines","0"
"247","difficulties.risk_of_airstrike","0.2222222"
"248","difficulties.dangerous_river_crossing.",NA
"249","difficulties.heat_strong_sun","0.1851852"
"250","difficulties.risk_of_direct_shooting","0.2222222"
"251","difficulties.risk_of_indirect_fire.",NA
"252","difficulties.travelling_children_elderly","0.3333333"
"253","difficulties.travelling_disabled_ill","0.1111111"
"254","difficulties.blocked_routes","0.1481482"
"255","difficulties.sleep_open","0.2222222"
"256","difficulties.dont_know","0"
"257","difficulties.none","0.03703704"
"258","item_bring.cash","0.9259259"
"259","item_bring.identification_papers","1"
"260","item_bring.water","0.2222222"
"261","item_bring.clothes","0.6296296"
"262","item_bring.iraqi_registration_papers","0"
"263","item_bring.cars","0"
"264","item_bring.jewelery_small_assets","0.1111111"
"265","item_bring.household_furniture","0"
"266","item_bring.food","0.1851852"
"267","item_bring.property_papers","0.2962963"
"268","item_bring.dont_know","0"
"269","item_bring.none","0"
"270","priority_need.clean_water","0.4444444"
"271","priority_need.sanitation_services","0.07407407"
"272","priority_need.electricity","0.1481482"
"273","priority_need.food","0.5185185"
"274","priority_need.shelter","0.8148148"
"275","priority_need.heathcare","0.4444444"
"276","priority_need.medicine","0.1481482"
"277","priority_need.nfis","0.2592593"
"278","priority_need.dont_know","0.03703704"
"279","difficulies_border_cross",NA
"280","difficulies_border_cross.pay_border",NA
"281","difficulies_border_cross.treated_disrespect",NA
"282","difficulies_border_cross.discrimination",NA
"283","difficulies_border_cross.long_waiting",NA
"284","difficulies_border_cross.unsafe",NA
"285","difficulies_border_cross.taken_id",NA
"286","difficulies_border_cross.dont_know",NA
"287","difficulies_border_cross.refuse_answer",NA
"288","difficulies_border_cross.other",NA
"289","difficulies_border_cross_other",NA
"290","disabled_avg","0.1208054"
"291","unaccompanied_avg",NA
"292","pregnant_avg","0.2151846"
"293","male017avg","0.2315436"
"294","male1860avg","0.2550336"
"295","male60avg","0.01006711"
"296","female017avg","0.2248322"
"297","female1860avg","0.261745"
"298","female60avg","0.01677852"
"299","noidavg","0.2718121"
"300","syriaeight","0.4074074"
"301","registeredeight","0.3703704"
"302","leftpie7","0.1111111"
"303","leftpie47","0.1851852"
"304","leftpie13","0.2592593"
